File;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other;comments
Albert2;;(1.0);same-turn;searching;;;;long pause;;;;;
Albert2;CHI;Maddy had one of those;same-turn;recycling;;;;;;;;;
Albert2;CHI;what;;;;;;;;;;;
Albert2;;(0.7);;;;;;short pause;;;;;
Albert2;CHI;what's that;same-turn;recycling;;;;;;small repeat;;;
Albert2;CHI;that a two;;;;;;;;;;;
Albert2;MOT;put this one here;;;;;;;;;;;
Albert2;CHI;that;Third-turn;;;recycling;;;;;;;
Albert2;CHI;that's a two and a five;same-turn;recycling;;;;;;small repeat;;;
Albert2;CHI;the bubbles;;;;;;;;;;;
Albert2;MOT;let's do a tower like this;;;;;;;;;;;
Albert2;MOT;one;;;;;;;;;;;
Albert2;CHI;I wanna blow the bubbles;Third-position;;;;specification;;;;;;
Albert2;MOT;[he said it] already;;;;;;;;;;;
Albert2;CHI;mommy blow [it up];;;;;;;;;;;
Albert2;CHI;mommy blow it up;TRP;;recycling;;;;;big repeat;overlap;;
Albert2;CHI;i plo- it popped over the girl;same-turn;replacing;;;;;;;misspeak;;
Albert2;CHI;can i now;;;;;;;;;;;
Albert2;CHI;now you blow it and then i can;TRP;;reformatting;;;;;;;;
Albert2;CHI;eh blow;;;;;;;;;;;
Albert2;CHI;mommy;;;;;;;;;;;
Albert2;CHI;blow it please;Third-turn;;;recycling;;;;;no uptake;;
Albert2;CHI;are you blow;;;;;;;;;;;
Albert2;CHI;are you gonna blow the balloon please;TRP;;inserting;;;;;;;;
Albert2;CHI;I the balloon please;;;;;;;;;;;
Albert2;CHI;I the balloon back;TRP;;replacing;;;;;;;;
Albert2;CHI;a snake;;;;;;;;;;;
Albert2;CHI;it's white;;;;;;;;;;;
Albert2;CHI;white;TRP;;recycling;;;;;small repeat;;;
Albert2;CHI;white;TRP;;recycling;;;;;small repeat;;;
Albert2;CHI;the bottom is white;TRP;;reformatting;;;;;;;;
Albert2;CHI;skin xxx;;;;;;;;;;;
Albert2;CHI;the skin white;;;;;;;;;;;
Albert2;CHI;white in;;;;;;;;;;;
Albert2;CHI;white in;same-turn;recycling;;;;;;small repeat;;;
Albert2;CHI;you paint it;;;;;;;;;;;
Albert2;CHI;you painting the tongue;TRP;;replacing;;;;;;;;
Albert2;CHI;you paint the tongue;TRP;;replacing;;;;;big repeat;no uptake;;
Albert2;CHI;the tongue mommy;TRP;;reformatting;;;;;;no uptake;;
Albert2;CHI;that's number one;;;;;;;;;;;
Albert2;CHI;that was number;TRP;;reformatting;;;;;;;;
Albert2;CHI;at one;;;;;;;;;;;
Albert2;CHI;number one;TRP;;recycling;;;;;;;;
Albert2;CHI;that one starts;;;;;;;;;;;
Albert2;CHI;and um;same-turn;searching;;;;;;;;;
Albert2;CHI;that one starts;Third-turn;;;recycling;;;;big repeat;;;
Albert2;CHI;went too fast;;;;;;;;;;;
Albert2;CHI;that went too fast;TRP;;inserting;;;;;big repeat;;;
Albert2;CHI;I'm going to burn [the];same-turn;aborting;;;;;;;;;
Albert2;MOT;[hmm];;;;;;;;;;;
Albert2;CHI;I'm going to burn that;Third-turn;;;replacing;;;;big repeat;overlap;;
Albert2;CHI;star in (0.5) in this;same-turn;recycling;;;;short pause;;;;;
Albert2;CHI;it's a- it's- starfish;same-turn;recycling;;;;;;;stuttering;;
Albert2;CHI;he;;;;;;;;;;;
Albert2;CHI;he got oatmeal;same-turn;recycling;;;;;;small repeat;;;
Albert2;CHI;the;same-turn;aborting;;;;;;;;;
Albert2;CHI;that's;;;;;;;;;;;
Albert2;;(4.0);;;;;;long pause;;;;;
Albert2;CHI;that's a hottub;same-turn;recycling;;;;;;small repeat;;;
Albert2;CHI;can (0.5) that one cold;same-turn;reformatting;;;;short pause;;;;;
Albert2;CHI;that;same-turn;aborting;;;;;;;;;
Albert2;CHI;you;;;;;;;;;;;
Albert2;CHI;you;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert2;CHI;you;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert2;CHI;you;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert2;CHI;you turning;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert2;CHI;you you take your turn to xxx;same-turn;recycling;;;;;;small repeat;stuttering;;
Albert2;CHI;you turning;same-turn;aborting;;;;;;;;;
Albert2;CHI;you you take your turn to xxx;TRP;;reformatting;;;;;small repeat;stuttering;;
Albert2;CHI;down it's;;;;;;;;;;;
Albert2;CHI;down to grocery;TRP;;replacing;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
