;Speaker;Utterance;Type of repair;Same-turn - specify type;TRP - specify type;Third-turn - specify type;Third-position - specify type;pause;search;repeat;cause;other;comments
Adam3;CHI;[is the di-] dragon;Third-turn;;;recycling;;;;small repeat;overlap;;is-is
Adam3;CHI;[is the di-] dragon;same-turn;recycling;;;;;;;misspeak;;di-dragon
Adam3;CHI;the the baby;same-turn;recycling;;;;;;small repeat;stuttering;;
Adam3;CHI;it blowed down;;;;;;;;;;;
Adam3;CHI;on to an;;;;;;;;;;;
Adam3;CHI;on to an;same-turn;recycling;;;;;repetition search;big repeat;;;
Adam3;CHI;a ball;same-turn;replacing;;;;;;;correcting grammar;;
Adam3;CHI;it's going to bring one for th- that it made the;same-turn;recycling;;;;;;small repeat;;;
Adam3;CHI;[and and];same-turn;aborting;;;;;;;overlap;;
Adam3;MOT;[hey Adam;;;;;;;;;;;
Adam3;MOT;look what] I have now;;;;;;;;;;;
Adam3;CHI;[and and];same-turn;recycling;;;;;;small repeat;;;
Adam3;CHI;when with dumb and dad which;same-turn;aborting;;;;;;;;;
Adam3;CHI;who see the baby which;same-turn;aborting;;;;;;;;irregular continuation;
Adam3;CHI;they;same-turn;aborting;;;;;;;;irregular continuation;
Adam3;CHI;and he saw them;TRP;;reformatting;;;;;;;irregular continuation;
Adam3;CHI;in;same-turn;aborting;;;;;;;;irregular continuation;
Adam3;CHI;in front of him;same-turn;recycling;;;;;;small repeat;;irregular continuation;
Adam3;CHI;and and;same-turn;recycling;;;;;;small repeat;;;
Adam3;CHI;and I was looking y- for you all over the place;same-turn;inserting;;;;;;small repeat;correcting grammar;;
Adam3;CHI;when with dumb and dad which;;;;;;;;;;;
Adam3;CHI;who see the baby which;same-turn;;parenthesizing;;;;;;;;
Adam3;CHI;[and];same-turn;aborting;;;;;;;overlap;;
Adam3;MOT;[get] it out of the bag;;;;;;;;;;;
Adam3;CHI;the the the;same-turn;recycling;;;;;repetition search;small repeat;;;
Adam3;CHI;the baby will;same-turn;aborting;;;;;;small repeat;;;
Adam3;CHI;the elephants are;same-turn;replacing;;;;;;;;;
Adam3;CHI;are are;same-turn;recycling;;;;;repetition search;small repeat;;;
Adam3;CHI;are get away from the;same-turn;recycling;;;;;;small repeat;;;
Adam3;CHI;the snake;same-turn;recycling;;;;;;small repeat;;irregular continuation;
Adam3;CHI;do as long as i;same-turn;aborting;;;;;;;;;
Adam3;CHI;with;;;;;;;;;;;
Adam3;CHI;with;TRP;;recycling;;;;repetition search;small repeat;;;
Adam3;CHI;no ice cream for you and;;;;;;;;;;;
Adam3;CHI;different ice cream;;;;;;;;;;irregular continuation;
Adam3;CHI;but;same-turn;aborting;;;;;;;;;
Adam3;CHI;no;TRP;;reformatting;;;;;;;;"reformatting from a ""but"" sentence to a solid ""no"""
Adam3;CHI;but;;;;;;;;;;;
Adam3;CHI;but;same-turn;recycling;;;;;;small repeat;;;
Adam3;CHI;don't be the snake;;;;;;;;;;;
Adam3;CHI;I'll be;same-turn;aborting;;;;;;;;;
Adam3;CHI;do you want to be the baby;same-turn;reformatting;;;;;;;;;
Adam3;CHI;that, eh,;same-turn;searching;;;;short pause;small search;;;;
Adam3;CHI;the cup cakes;;;;;;;;;;;
Adam3;CHI;I'm going to go;;;;;;short pause;;;;;
Adam3;CHI;get;;;;;;short pause;;;;irregular continuation;
Adam3;CHI; the cup;same-turn;aborting;;;;short pause;;;;irregular continuation;
Adam3;CHI;the more cupcakes;same-turn;inserting;;;;;;;;;
Adam3;CHI;from the;same-turn;aborting;;;;;;;;;
Adam3;MOT;look at me;;;;;;;;;;;
Adam3;CHI;the;Third-turn;recycling;;;;;repetition search;small repeat;;;
Adam3;CHI;the;same-turn;recycling;;;;;repetition search;small repeat;;;
Adam3;MOT;look at me;;;;;;;;;;;
Adam3;CHI;elephant grocery store;;;;;;;;;;;
Adam3;CHI;[the];same-turn;aborting;;;;;;;overlap;;
Adam3;MOT;can [I] see them;;;;;;;;;;;
Adam3;CHI;the s- the same ones;Third-turn;;;recycling;;;;;;;
Adam3;CHI;the s- the same ones;same-turn;recycling;;;;;;small repeat;stuttering;;
Adam3;CHI;um;same-turn;searching;;;;;small search;;;;
Adam3;CHI;this w-;same-turn;aborting;;;;;;;;;
Adam3;CHI;there are plenty of them;TRP;;reformatting;;;;;;;;
Adam3;CHI;there's a ch- lot;same-turn;replacing;;;;;;;misspeak;;
Adam3;CHI;with plenty;;;;;;short pause;;;;irregular continuation;
Adam3;CHI;there's plenty of chocolate ones;TRP;;reformatting;;;short pause;;;;;
Adam3;CHI;here's a chocolate;;;;;;;;;;;
Adam3;MOT;this is what it's [going to be if he doesn't want to go my way];;;;;;;;;;;
Adam3;CHI;[now I got some more] apple juice;;;;;;;;;;;
Adam3;MOT;he incorporates [something into it];;;;;;;;;;;
Adam3;CHI;[I get some more] apple juice;Third-turn;;;recycling;;;;big repeat;overlap;;
Adam3;CHI;I spray it into;;;;;;;;;;;
Adam3;CHI;into the- your cup;same-turn;recycling;;;;;;small repeat;;irregular continuation;
Adam3;CHI;into the- your cup;same-turn;replacing;;;;;;;;;
Adam3;CHI;but;;;;;;short pause;;;;;
Adam3;CHI;but;same-turn;recycling;;;;short pause;;small repeat;;;
Adam3;CHI;she's going to go buy it in a minute;;;;;;;;;;;
Adam3;CHI;the snake ranned out;;;;;;short pause;;;;;
Adam3;CHI;some pink;same-turn;aborting;;;;short pause;;;;irregular continuation;
Adam3;CHI;look at the;same-turn;sequence-jumping;;;;;;;;;
Adam3;CHI;snake ranned out;same-turn;sequence-jumping;;;;short pause;;;;;
Adam3;CHI;some pink cups;;;;;;;;;;irregular continuation;
Adam3;CHI;snake ranned out;Third-turn;;;recycling;;;;big repeat;;;
Adam3;CHI;they should;same-turn;aborting;;;;short pause;;;;;
Adam3;CHI;they should;same-turn;recycling;;;;short pause;;big repeat;;;
Adam3;CHI;they should all take;same-turn;recycling;;;;short pause;;;;;
Adam3;CHI;could;TRP;;replacing;;;;;;;irregular continuation;
Adam3;CHI;the;;;;;;;;;;;
Adam3;CHI;the;same-turn;recycling;;;;;repetition search;small repeat;;;
Adam3;CHI;the;same-turn;recycling;;;;;repetition search;small repeat;;;
Adam3;CHI;the;same-turn;recycling;;;;;repetition search;small repeat;;;
Adam3;CHI;all the pink cups on the ground;;;;;;;;;;;
Adam3;CHI;who are nice and clean and;;;;;;short pause;;;;irregular continuation;
Adam3;CHI;nice;TRP;;recycling;;;short pause;;;;irregular continuation;
Adam3;CHI;dirty;TRP;;replacing;;;;;;;irregular continuation;
Adam3;CHI;and wash them off;;;;;;;;;;;
Adam3;CHI;m off;TRP;;recycling;;;;repetition search;small repeat;;irregular continuation;
Adam3;CHI;and wash them off;TRP;;recycling;;;short pause;repetition search;big repeat;;irregular continuation;
Adam3;CHI;at home;;;;;;short pause;;;;;
Adam3;CHI;I see;;;;;;;;;;;
Adam3;CHI;a;;;;;;;;;;;
Adam3;CHI;a;same-turn;recycling;;;;;repetition search;small repeat;stuttering;;
Adam3;CHI;a c;same-turn;aborting;;;;;repetition search;small repeat;stuttering;;
Adam3;CHI;I see;same-turn;recycling;;;;;;;;;
