file,Speaker,Utterance,type,reptype,pause,search,repeat,cause,other
Adam3,CHI,front of the line,NA,NA,short pause,NA,NA,NA,NA
Adam3,CHI,from the,TRP,recycling,short pause,NA,NA,NA,NA
Adam3,CHI,car,TRP,replacing,short pause,NA,NA,NA,NA
Adam3,CHI,hear it when,same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,hear,same-turn,recycling,NA,NA,small repeat,NA,NA
Adam3,CHI,hear were for elephant,same-turn,recycling,NA,NA,small repeat,NA,NA
Adam3,CHI,[his],same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,his friend,same-turn,recycling,NA,NA,small repeat,overlap,NA
Adam3,CHI,look it's,same-turn,aborting,NA,NA,NA,NA,NA
Adam3,CHI,this is,same-turn,replacing,short pause,NA,small repeat,NA,NA
Adam3,CHI,[is the di-] dragon,Third-turn,recycling,NA,NA,small repeat,overlap,NA
Adam3,CHI,[is the di-] dragon,same-turn,recycling,NA,NA,NA,misspeak,NA
Adam3,CHI,the the baby,same-turn,recycling,NA,NA,small repeat,stuttering,NA
Adam3,CHI,on to an,same-turn,recycling,NA,repetition search,big repeat,NA,NA
Adam3,CHI,a ball,same-turn,replacing,NA,NA,NA,correcting grammar,NA
Adam3,CHI,it's going to bring one for th- that it made the,same-turn,recycling,NA,NA,small repeat,NA,NA
Adam3,CHI,[and and],same-turn,aborting,NA,NA,NA,overlap,NA
Adam3,CHI,[and and],same-turn,recycling,NA,NA,small repeat,NA,NA
Adam3,CHI,when with dumb and dad which,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,who see the baby which,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,they,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,and he saw them,TRP,reformatting,short pause,NA,NA,NA,NA
Adam3,CHI,in,same-turn,aborting,short pause,NA,NA,NA,NA
Adam3,CHI,in front of him,same-turn,recycling,short pause,NA,small repeat,NA,NA
Adam3,CHI,and and,same-turn,recycling,short pause,repetition search,small repeat,NA,NA
Adam3,CHI,and I was looking y- for you all over the place,same-turn,inserting,NA,NA,small repeat,correcting grammar,NA
Adam3,CHI,who see the baby which,same-turn,parenthesizing,NA,NA,NA,NA,NA
Adam3,CHI,[and],same-turn,aborting,NA,NA,NA,overlap,NA
Adam3,CHI,the the the,same-turn,recycling,NA,repetition search,small repeat,NA,NA
Adam3,CHI,the baby will,same-turn,aborting,short pause,NA,small repeat,NA,NA
Adam3,CHI,the elephants are,same-turn,replacing,short pause,NA,NA,NA,NA
Adam3,CHI,are are,same-turn,recycling,NA,repetition search,small repeat,NA,NA
Adam3,CHI,are get away from the,same-turn,recycling,short pause,NA,small repeat,NA,NA
